fips,jurisdiction,Total Cases,Total Death,CasesInLast7Days,RatePer100000
AL,01,Alabama,6627,220,1904,135.6
AK,02,Alaska,341,9,27,46.2
AZ,04,Arizona,6526,275,1807,91
AR,05,Arkansas,2941,49,1164,97.6
CA,06,California,42164,1710,13201,106.6
CO,08,Colorado,13350,679,3917,234.4
CT,09,Connecticut,25269,1924,7719,707.3
DE,10,Delaware,4162,125,1624,430.3
FL,12,Florida,30680,1074,5883,144
GA,13,Georgia,23410,912,6396,222.5
HI,15,Hawaii,550,14,-24,38.7
ID,16,Idaho,1897,56,229,108.1
IL,17,Illinois,43903,1933,14743,344.6
IN,18,Indiana,15012,901,4371,224.3
IA,19,Iowa,5475,118,2962,173.5
KS,20,Kansas,3174,118,1363,109
KY,21,Kentucky,4074,208,1367,91.2
LA,22,Louisiana,26832,1729,3252,575.8
ME,23,Maine,1023,50,176,76.4
MD,24,Maryland,19487,945,7179,322.5
MA,25,Massachusetts,54938,2899,18566,796
MI,26,Michigan,37778,3315,7061,547.3
MN,27,Minnesota,3602,272,1389,64.2
MS,28,Mississippi,6094,229,2120,204
MO,29,Missouri,6997,274,1480,114.2
MT,30,Montana,449,14,23,42.3
NE,31,Nebraska,3028,56,1741,157
NV,32,Nevada,4602,213,976,151.7
NH,33,New Hampshire,1864,60,522,137.4
NJ,34,New Jersey,109038,5938,27602,1224
NM,35,New Mexico,2726,99,928,130.1
NY,36,New York,282991,21504,49421,1448.1
NC,37,North Carolina,8830,299,2690,85
ND,38,North Dakota,867,17,339,114.1
OH,39,Ohio,15963,728,5741,136.6
OK,40,Oklahoma,3253,195,683,82.5
OR,41,Oregon,2311,91,467,55.1
PA,42,Pennsylvania,41165,1550,10095,321.4
RI,44,Rhode Island,7439,226,2948,703.6
SC,45,South Carolina,5490,174,1244,108
SD,46,South Dakota,2212,11,670,250.7
TN,47,Tennessee,9698,181,2935,143.2
TX,48,Texas,24631,648,6371,85.8
UT,49,Utah,4214,41,1268,133.3
VT,50,Vermont,851,46,48,135.9
VA,51,Virginia,13535,458,5482,158.9
WA,53,Washington,13521,749,1719,179.4
WV,54,West Virginia,1053,34,228,58.3
WI,55,Wisconsin,5911,272,1712,101.7
WY,56,Wyoming,502,7,79,86.9
AS,60,American Samoa,0,0,0,0
DC,11,District of Columbia,3841,178,1175,546.8
GU,66,Guam,142,5,6,85.7
MP,69,Northern Mariana Islands,14,2,0,0
PR,72,Puerto Rico,1371,84,253,42.9
PW,70,Palau,0,0,0,0
VI,78,Virgin Islands,57,4,3,54.5
FSM,64,Federated States of Micronesia,0,0,0,0
RMI,68,Republic of Marshall Islands,0,0,0,0
US,00,United States of America,957875,53922,0,0
